id,name,carbs,fiber,sugar,fat,protien,glycamic_index,meal_type,meal_for,image_link,description,
1,Almond Butter and Celery Sticks,5,3,1,7,2,0,snack,veg,http://drive.google.com/uc?export=view&id=1m6T2HVyKRxJO_ktNU0zasi5BqWqhx8jO,"A classic snack featuring the creamy richness of almond butter paired with the crunch of celery sticks. It's a satisfying combination of flavors and textures that offers a balance of protein. healthy fats and fiber.",
2,Almonds,5,3,1,14,6,0,snack,veg,http://drive.google.com/uc?export=view&id=1OuQlUlPhi4Lgnuwx61xoZVyJO2ZKBbru,"Almonds are a nutritious snack packed with healthy fats protein. and fiber. They provide a satisfying crunch and are a great source of vitamin E. magnesium. and antioxidants.",
3,Apple,25,4,19,0.5,0.5,53,snack,veg,http://drive.google.com/uc?export=view&id=1qaSTyG51q4vql55r2bW1X-GxDnaxn7ej,"A crisp and refreshing fruit that's naturally sweet with a hint of tartness. Apples are rich in fiber and vitamin C. making them a healthy snack choice that can help keep you feeling full and satisfied.",
4,Avocado,2,2,1,15,2,15,snack,veg,http://drive.google.com/uc?export=view&id=1dqNWAYrg9knug7tKBZani4pxekS0Ch80,"Creamy and versatile avocados are a nutrient-dense fruit loaded with heart-healthy monounsaturated fats fiber and vitamins. They add a deliciously smooth texture to salads sandwiches and wraps.",
5,Avocado and Tomato Salad,10,5,2,15,3,20,lunch,veg,http://drive.google.com/uc?export=view&id=15iu0497wyfNCBRGzby2kPYnWGjliUWl1,"A vibrant and flavorful salad featuring ripe avocado slices and juicy tomato wedges. This simple yet satisfying dish is drizzled with a tangy vinaigrette and sprinkled with fresh herbs for a burst of freshness in every bite.",
6,Baked Eggplant Parmesan,20,5,4,6,15,50,dinner,veg,http://drive.google.com/uc?export=view&id=1zIVelLaGsvHjTokrIrLJTurTggdR5z2u,"A healthier twist on a classic Italian dish this baked eggplant parmesan features tender slices of eggplant layered with marinara sauce melted mozzarella cheese and Parmesan breadcrumbs. It's a comforting and satisfying meal that's perfect for vegetarians and meat-lovers alike.",
7,Baked Fish with Lemon and Herbs,0,0,0,5,25,10,dinner,non-veg,http://drive.google.com/uc?export=view&id=1YYSzTf_uwrkSjeBxCm_1ouGr53Nm5VHo,"Light and flavorful this baked fish dish is seasoned with zesty lemon fragrant herbs and a touch of olive oil. It's a simple yet elegant meal that's quick to prepare and perfect for a weeknight dinner.",
8,Baked Zucchini Chips,20,4,2,6,3,30,snack,veg,http://drive.google.com/uc?export=view&id=1IS3wBAaGjMlQJg2XLqEB5rXNwCgjYyAo,"Crispy and flavorful these baked zucchini chips are a healthier alternative to traditional potato chips. Thinly sliced zucchini is seasoned with herbs and spices then baked until golden brown and crunchy.",
9,Banana,30,3,20,0.5,1,55,snack,veg,http://drive.google.com/uc?export=view&id=1D-qdcqVW-F7Evh623SyA02wb3qraZ-CI,"A naturally sweet and creamy fruit that's rich in potassium vitamin C and fiber. Bananas are a convenient and nutritious snack that can help satisfy hunger and provide a quick energy boost.",
10,Berry and Spinach Smoothie,25,5,15,3,5,50,snack,veg,http://drive.google.com/uc?export=view&id=1uVRlFFBSxIluojo45FcmGD8vXSbEiuel,"A refreshing and nutrient-packed smoothie featuring a blend of mixed berries fresh spinach and creamy Greek yogurt. It's a delicious way to sneak in some extra greens and antioxidants while satisfying your sweet tooth.",
11,Bison Burger with Lettuce Wrap,5,1,1,8,30,45,lunch,non-veg,http://drive.google.com/uc?export=view&id=1Awr26F8HvOWcSCtltJRSR3oEt4WwFtcc,"A lean and flavorful alternative to beef bison burgers are grilled to perfection and served in crisp lettuce wraps. Topped with your favorite condiments and veggies it's a satisfying and protein-packed meal that's low in carbs and calories.",
12,Black Beans,20,6,2,1,8,30,lunch,veg,http://drive.google.com/uc?export=view&id=19yxMHO_X830ySWVuXYmYW275W8uL333s,"Rich and hearty black beans are a versatile legume that's packed with protein fiber and essential nutrients. Whether served in soups salads or tacos black beans are a delicious and nutritious addition to any meal.",
13,Blueberries,15,3,8,0.5,1,53,snack,veg,http://drive.google.com/uc?export=view&id=1rD86OvPPCxOGqRjdTePu97y_l_TxJHyj,"Sweet and juicy blueberries are bursting with antioxidants vitamins and fiber. These flavorful berries are delicious on their own or as a topping for yogurt oatmeal or salads.",
14,Brussels Sprouts,8,4,3,0.5,2,15,dinner,veg,http://drive.google.com/uc?export=view&id=1WMdfsOJMDVHZkfc2GSMVqeMw0OSdzyeZ,"Nutty and nutritious Brussels sprouts are a cruciferous vegetable that's high in fiber vitamins and antioxidants. Roasted or sautéed until caramelized and tender Brussels sprouts make a delicious side dish or salad ingredient.",
15,Broccoli,6,3,2,0,3,10,dinner,veg,http://drive.google.com/uc?export=view&id=1aSKDhZISWAUQ5wxbbl6lEP8eanju7nrh,"Tender and vibrant green broccoli is a nutrient-rich vegetable that's loaded with vitamins minerals and antioxidants. Whether steamed roasted or stir-fried broccoli is a versatile ingredient that can be enjoyed in a variety of dishes.",
16,Broccoli and Feta Frittata,5,2,1,7,15,40,breakfast,veg,http://drive.google.com/uc?export=view&id=1wGyjAj8yg6x29ig80N-B0VZfUv6CZjhO,"A flavorful and protein-packed frittata featuring tender broccoli florets and tangy feta cheese. This easy and versatile dish is perfect for breakfast brunch or a light dinner.",
17,Brown Rice with Vegetables,45,6,4,4,8,50,lunch,veg,http://drive.google.com/uc?export=view&id=1e_wrOsQbHFdEG5MeI7dgpRsZP2gDd6WZ,"Nutty and nutritious brown rice is a whole grain that's rich in fiber vitamins and minerals. Paired with an assortment of colorful vegetables this hearty dish is a delicious and satisfying meal that's perfect for lunch or dinner.",
18,Cauliflower Rice Stir-Fry,10,4,3,3,5,25,dinner,veg,http://drive.google.com/uc?export=view&id=1X5o9UdLjR4UBOW1UClKjzfZ_zf7BwxOo,"A low-carb and veggie-packed stir-fry featuring cauliflower rice and an assortment of colorful vegetables. Light yet satisfying this dish is bursting with flavor and nutrients making it a healthy and delicious option for lunch or dinner.",
19,Carrot Sticks with Hummus,15,5,3,2,4,35,snack,veg,http://drive.google.com/uc?export=view&id=1J4eJe2NU2BNUhBsoOxf8z1cBh0BH7d9f,"Crunchy and satisfying carrot sticks are a nutritious snack that's packed with vitamins minerals and fiber. Paired with creamy hummus it's a delicious and satisfying combination that's perfect for satisfying midday cravings.",
20,Celery Sticks with Cream Cheese,5,2,3,3,2,40,snack,veg,http://drive.google.com/uc?export=view&id=1rney_Y_ARR7GFIzd7LKLBWju3pJ4yNoL,"Crisp and refreshing celery sticks are a low-calorie snack that's perfect for dipping. Paired with creamy cream cheese it's a simple yet satisfying combination that's perfect for a quick and healthy snack.",
21,Cheddar Cheese,1,0,0,8,7,20,snack,veg,https://cheeseknees.com/wp-content/uploads/2020/10/cheesegrate2-1365x2048-1.jpg,"Sharp and savory cheddar cheese is a popular cheese known for its rich flavor and smooth texture. Whether enjoyed on its own or melted over nachos burgers or sandwiches cheddar cheese adds a deliciously cheesy kick to any dish.",
22,Chicken Salad,5,2,1,6,20,40,lunch,non-veg,http://drive.google.com/uc?export=view&id=1VeK4GLcEWv3KZyvjM6zzVRfPIpHcgynh,"A classic and versatile dish featuring tender chunks of chicken tossed with crunchy vegetables and creamy dressing. Whether served on a bed of lettuce between slices of bread or stuffed into a pita pocket chicken salad is a delicious and satisfying meal that's perfect for lunch or dinner.",
23,Chia Seed Pudding with Coconut Milk,20,6,5,8,3,50,breakfast,veg,http://drive.google.com/uc?export=view&id=1slqUee4CBoexHoX1oKxeIRqO3ymvv-xF,"Creamy and indulgent chia seed pudding is a delicious and nutritious dessert made with coconut milk chia seeds and a touch of sweetener. It's a rich source of fiber healthy fats and antioxidants making it a guilt-free treat that's perfect for breakfast or dessert.",
24,Cottage Cheese,4,0,3,2,10,20,snack,veg,https://staticcookist.akamaized.net/wp-content/uploads/sites/22/2022/05/How-to-make-cottage-cheese-11.jpg,"Creamy and tangy cottage cheese is a versatile dairy product that's rich in protein calcium and B vitamins. Whether enjoyed on its own or mixed with fruit nuts or honey cottage cheese is a delicious and nutritious addition to any meal or snack.",
25,Cottage Cheese and Berries Bowl,15,3,8,3,10,40,snack,veg,http://drive.google.com/uc?export=view&id=1iSrUyMkbXk7mpS5OUF7CzcsVe97Rpooe,"A satisfying and protein-packed snack featuring creamy cottage cheese topped with a colorful array of fresh berries. It's a delicious and nutritious combination that's perfect for satisfying hunger and fueling your day.",
26,Cottage Cheese with Pineapple,15,1,10,2,8,50,snack,veg,http://drive.google.com/uc?export=view&id=17xfOEyYl_EVhvc4tYMPeBiwq-9WxQ2g1,"Sweet and creamy cottage cheese is paired with juicy pineapple chunks for a delicious and refreshing snack. Packed with protein calcium and vitamin C it's a nutritious option that's perfect for satisfying cravings and keeping you energized throughout the day.",
27,Cucumber Slices with Yogurt Dip,10,3,4,2,3,30,snack,veg,http://drive.google.com/uc?export=view&id=1IBW04V5W9hys701UB8eU5dUuNRgam9Xq,"Cool and refreshing cucumber slices are paired with creamy yogurt dip for a delicious and nutritious snack. Light yet satisfying it's a healthy option that's perfect for satisfying midday cravings.",
28,Edamame,10,5,3,3,9,30,snack,veg,http://drive.google.com/uc?export=view&id=1y9BoiYgEvjurK48ezsBp0IReByVPzYXd,"Tender and flavorful edamame are young soybeans that are packed with protein fiber and essential nutrients. Whether enjoyed steamed boiled or sautéed edamame is a delicious and nutritious snack that's perfect for fueling your day.",
29,Egg Omelette with Spinach,3,1,1,5,10,30,breakfast,non-veg,http://drive.google.com/uc?export=view&id=1GAc6CylITRKKEt5ww26DvmURL4U2lCxt,"Fluffy and flavorful this egg omelette is filled with nutritious spinach and savory cheese. Packed with protein vitamins and minerals it's a satisfying and healthy breakfast option that's quick and easy to make.",
30,Grapes,20,1,15,0,1,59,snack,veg,http://drive.google.com/uc?export=view&id=19iZvsLjpjAtWX7rla0clDuRS82v8L8TB,"Sweet and juicy, grapes are a delicious fruit that's packed with vitamins, minerals, and antioxidants. Whether enjoyed fresh as a snack or frozen for a refreshing treat, grapes are a nutritious option that can satisfy your sweet tooth.",
31,Greek Yogurt with Berries,20,5,15,2,15,30,breakfast,veg,https://muscleupmeals.com/wp-content/uploads/2022/07/Greek-Yogurt-Nutrition.600.jpg,"Creamy and tangy, Greek yogurt is paired with a colorful assortment of fresh berries for a delicious and nutritious breakfast or snack. Packed with protein, probiotics, and antioxidants, it's a healthy option that's perfect for fueling your day.",
32,Greek Yogurt with Cucumber and Dill,10,2,7,3,10,25,snack,veg,http://drive.google.com/uc?export=view&id=1xB3jOpc6S7-AR1Cx-Iezaod_hOazWKG2,"Creamy Greek yogurt is paired with refreshing cucumber and fragrant dill for a delicious and nutritious snack. Light yet satisfying, it's a healthy option that's perfect for satisfying hunger and keeping you energized throughout the day.",
33,Grilled Chicken Breast,0,0,0,3,30,0,lunch,non-veg,http://drive.google.com/uc?export=view&id=1yvga3zIpmY9P9KWASABkpfo-EQm_pHYD,"Tender and juicy, grilled chicken breast is a lean and protein-rich option that's perfect for a healthy and satisfying meal. Whether served on its own or sliced and added to salads, sandwiches, or wraps, grilled chicken breast is a versatile ingredient that's easy to prepare and delicious to eat.",
34,Grilled Chicken Caesar Salad,10,3,2,8,20,40,lunch,non-veg,http://drive.google.com/uc?export=view&id=1EkBq99KUEHlBhwezyvCT1lp1mB8u2qP0,"Crisp romaine lettuce is topped with tender grilled chicken breast, crunchy croutons, and creamy Caesar dressing for a classic and satisfying salad. Packed with protein, fiber, and essential nutrients, it's a healthy and delicious option that's perfect for lunch or dinner.",
35,Grilled Eggplant with Tomato and Basil,15,5,3,2,2,30,dinner,veg,http://drive.google.com/uc?export=view&id=1UqJ50mv2PX3Rh-ZuDANA_asfWHLDIRrd,"Tender grilled eggplant is paired with ripe tomatoes and fragrant basil for a flavorful and nutritious dish. Light yet satisfying, it's a delicious option that's perfect for a light lunch or dinner.",
36,Grilled Salmon with Asparagus,0,0,0,8,30,0,dinner,non-veg,http://drive.google.com/uc?export=view&id=1R4-M2mZ_Xi_iUtRH6PVW6-X-8eUwFd_Q,"Rich and flavorful, grilled salmon is paired with tender asparagus spears for a delicious and nutritious meal. Packed with protein, omega-3 fatty acids, and essential nutrients, it's a healthy option that's perfect for dinner.",
37,Grilled Turkey Breast,0,0,0,2,20,0,snack,non-veg,http://drive.google.com/uc?export=view&id=1J0YLBbPhKpo7AyZzhSExarGHSKruJUSz,"Tender and juicy, grilled turkey breast is a lean and protein-rich option that's perfect for a healthy and satisfying meal. Whether served on its own or sliced and added to sandwiches or salads, grilled turkey breast is a versatile ingredient that's easy to prepare and delicious to eat.",
38,Green Beans,5,3,2,0,1,15,dinner,veg,http://drive.google.com/uc?export=view&id=1OJKZqMWhaRSBnyv3yPJjpStVUwrfrsRh,"Crisp and flavorful, green beans are a nutritious vegetable that's rich in vitamins, minerals, and antioxidants. Whether steamed, sautéed, or roasted, green beans are a delicious and versatile ingredient that can be enjoyed in a variety of dishes.",
39,Hard-Boiled Eggs,1,0,0,5,6,10,snack,non-veg,http://drive.google.com/uc?export=view&id=1kSqpjuyDO7kG49sThd0q5tY1CCXoGRh6,"Protein-rich and convenient, hard-boiled eggs are a nutritious snack that's perfect for satisfying hunger on the go. Packed with protein, vitamins, and minerals, hard-boiled eggs are a healthy option that can help keep you feeling full and energized throughout the day.",
40,Leafy Greens,3,2,1,0,1,15,breakfast,veg,https://domf5oio6qrcr.cloudfront.net/medialibrary/5260/h0918g16207257581285.jpg,"Nutrient-packed and versatile, leafy greens like spinach, kale, and arugula are a nutritious addition to any meal. Whether enjoyed raw in salads, sautéed as a side dish, or blended into smoothies, leafy greens are a delicious and nutritious option that's packed with vitamins, minerals, and antioxidants.",
41,Leafy Greens Salad with Grilled Chicken,5,3,2,5,30,35,lunch,veg,http://drive.google.com/uc?export=view&id=1gXXz57r_e6OqpHKB4BfBMnNUpQhKoS63,"A fresh and flavorful salad featuring a variety of leafy greens topped with tender grilled chicken breast. Packed with protein, fiber, and essential nutrients, it's a healthy and satisfying option that's perfect for lunch or dinner.",
42,Lean Beef Steak,0,0,0,6,25,0,dinner,non-veg,http://drive.google.com/uc?export=view&id=1DX1cgPqiU1BM-JQ5hYnlha1W8aAsFQGp,"Juicy and flavorful, lean beef steak is a protein-rich option that's perfect for a hearty and satisfying meal. Whether grilled, broiled, or pan-seared, lean beef steak is a delicious and nutritious option that's sure to please meat lovers.",
43,Lean Turkey Breast,0,0,0,3,25,20,snack,non-veg,http://drive.google.com/uc?export=view&id=1lF3Y_O0Ym5BT5qkVFo4f3URYDhsW3bjg,"Tender and flavorful, lean turkey breast is a protein-rich option that's perfect for a healthy and satisfying meal. Whether roasted, grilled, or sliced for sandwiches, lean turkey breast is a versatile ingredient that's easy to prepare and delicious to eat.",
44,Lentil Soup,30,7,5,2,10,35,lunch,veg,http://drive.google.com/uc?export=view&id=19YblxlWQLeAGvjzcdo9MhiHtWpcuOo9d,"Hearty and comforting, lentil soup is a nutritious dish made with protein-packed lentils, flavorful vegetables, and aromatic spices. Packed with fiber, vitamins, and minerals, it's a delicious and satisfying option that's perfect for lunch or dinner.",
45,Mango Slices,30,3,20,0.5,1,60,snack,veg,http://drive.google.com/uc?export=view&id=13d86IrI5-x7kbBm8R-E9b8_xd8wwjiXC,"Sweet and juicy, mango slices are a delicious fruit that's packed with vitamins, minerals, and antioxidants. Whether enjoyed fresh on their own or added to salads, smoothies, or desserts, mango slices are a nutritious option that's perfect for satisfying your sweet tooth.",
46,Mixed Berries,15,5,10,1,1,40,snack,veg,http://drive.google.com/uc?export=view&id=1-7MxfbBwIQMvtQalQQeLKYcWe4T1vAjv,"A colorful and flavorful blend of strawberries, blueberries, raspberries, and blackberries. Packed with vitamins, minerals, and antioxidants, mixed berries are a delicious and nutritious option that's perfect for snacking, baking, or adding to smoothies and yogurt.",
47,Mixed Nuts,8,4,2,15,10,25,snack,veg,http://drive.google.com/uc?export=view&id=13JyLzM4c0QyXc4XnVcT0d74ZAwF2e-PT,"A crunchy and satisfying snack featuring a variety of nuts such as almonds, walnuts, cashews, and peanuts. Packed with protein, healthy fats, and essential nutrients, mixed nuts are a delicious and nutritious option that's perfect for satisfying hunger on the go.",
48,Orange Slices,20,3,15,0,1,45,snack,veg,http://drive.google.com/uc?export=view&id=1nUfwSw93Q1S6oJQwnDmt2I9IQrOZ2G8_,"Sweet and tangy, orange slices are a delicious and refreshing fruit that's packed with vitamin C, fiber, and antioxidants. Whether enjoyed fresh on their own or added to salads, smoothies, or desserts, orange slices are a nutritious option that's perfect for satisfying your sweet tooth.",
49,Quinoa Salad,35,8,3,6,5,53,lunch,veg,http://drive.google.com/uc?export=view&id=1lhxXQtQGd6ImATdSkLZQp6Js_MFK5CLY,"Nutty and nutritious, quinoa is paired with an assortment of colorful vegetables and a tangy vinaigrette for a delicious and satisfying salad. Packed with protein, fiber, and essential nutrients, it's a healthy and flavorful option that's perfect for lunch or dinner.",
50,Quinoa and Vegetable Soup,30,7,5,2,10,35,lunch,veg,http://drive.google.com/uc?export=view&id=1MavfsiLIDbU_s6wdtcZ2elo2UWObzq-h,"Hearty and comforting, quinoa and vegetable soup is a nutritious dish made with protein-rich quinoa, flavorful vegetables, and aromatic spices. Packed with fiber, vitamins, and minerals, it's a delicious and satisfying option that's perfect for lunch or dinner.",
51,Salmon and Asparagus Foil Packets,5,2,1,8,25,40,dinner,non-veg,http://drive.google.com/uc?export=view&id=1kyhYBBfjCiRTeOEzrBUdwR3p81dkH8Gk,"Flavorful and easy to prepare, salmon and asparagus foil packets are a delicious and nutritious meal that's perfect for busy weeknights. Seasoned with herbs, lemon, and garlic, these foil packets lock in moisture and flavor for a tasty and satisfying dish.",
52,Salmon Fillet,0,0,0,10,25,0,dinner,non-veg,http://drive.google.com/uc?export=view&id=1Pndga9Nbhp5shVXCSCQsons63PvmR-N4,"Rich and flavorful, salmon fillets are a protein-rich option that's perfect for a healthy and satisfying meal. Whether baked, grilled, or pan-seared, salmon fillets are a versatile ingredient that's easy to prepare and delicious to eat.",
53,Salmon Salad,10,3,2,7,20,40,lunch,non-veg,https://www.recipetineats.com/wp-content/uploads/2019/07/Salmon-Salad_1-SQ.jpg,"Light and refreshing, salmon salad is made with tender flaked salmon, crisp vegetables, and creamy dressing. Packed with protein, omega-3 fatty acids, and essential nutrients, it's a healthy and satisfying option that's perfect for lunch or dinner.",
54,Sardines,0,0,0,6,20,5,snack,non-veg,http://drive.google.com/uc?export=view&id=1-RYgitDc2Di_i5oVLIYuxiuBD8UnOPCs,"Rich and flavorful, sardines are a nutrient-rich fish that's packed with protein, omega-3 fatty acids, and essential nutrients. Whether enjoyed on their own or added to salads, sandwiches, or pasta dishes, sardines are a delicious and nutritious option that's perfect for seafood lovers.",
55,Sliced Turkey Breast,0,0,0,2,20,0,snack,non-veg,http://drive.google.com/uc?export=view&id=1hNnp6lFLO_B6Lb3fqz8CbNt_XO6QLDgB,"Lean and flavorful, sliced turkey breast is a protein-rich option that's perfect for sandwiches, wraps, salads, and more. Whether roasted, smoked, or grilled, sliced turkey breast is a versatile ingredient that's easy to prepare and delicious to eat.",
56,Spinach Salad with Grilled Shrimp,15,4,3,5,20,45,lunch,non-veg,http://drive.google.com/uc?export=view&id=1udofSic-qz4XFL10XBiQJnwEW88UrgVo,"Fresh and flavorful, spinach salad is topped with tender grilled shrimp, crisp vegetables, and tangy dressing. Packed with protein, fiber, and essential nutrients, it's a healthy and satisfying option that's perfect for lunch or dinner.",
57,Spaghetti Squash Pad Thai,20,6,5,6,8,45,dinner,veg,http://drive.google.com/uc?export=view&id=13z1LDzchA6BiTYb6t3F8hel08G1XhHhB,"A healthy twist on a classic dish, spaghetti squash pad Thai is made with spiralized squash noodles, flavorful vegetables, and a tangy sauce. Packed with fiber, vitamins, and minerals, it's a delicious and nutritious option that's perfect for dinner.",
58,Steamed Asparagus,5,3,2,1,2,15,dinner,veg,http://drive.google.com/uc?export=view&id=1LGWPjLhwDFYyxmte9Lz0hBQNeKuSs8mh,"Tender and flavorful, steamed asparagus is a nutritious vegetable that's rich in vitamins, minerals, and antioxidants. Whether enjoyed on its own or added to salads, omelettes, or pasta dishes, steamed asparagus is a delicious and versatile option that's perfect for any meal.",
59,Steamed Cauliflower,5,3,2,0,2,15,dinner,veg,http://drive.google.com/uc?export=view&id=1j1NWj3NynhOyZNJnlwsKku_6JoLK3TBJ,"Light and fluffy, steamed cauliflower is a nutritious vegetable that's rich in vitamins, minerals, and antioxidants. Whether enjoyed on its own or mashed as a low-carb alternative to mashed potatoes, steamed cauliflower is a delicious and versatile option that's perfect for any meal.",
60,Steamed Green Beans with Almonds,10,4,3,5,4,30,dinner,veg,http://drive.google.com/uc?export=view&id=14hSjpp6nOVGTww7xLTXIPP7uol2Z-Rky,"Crisp and flavorful, steamed green beans are paired with toasted almonds for a delicious and nutritious side dish. Packed with fiber, protein, and essential nutrients, it's a healthy option that's perfect for rounding out any meal.",
61,Strawberries,10,4,6,0,1,40,snack,veg,http://drive.google.com/uc?export=view&id=15VV6tIEshVtSE_tdV6z9N1zxZfbU4Z2s,"Sweet and juicy, strawberries are a delicious fruit that's packed with vitamins, minerals, and antioxidants. Whether enjoyed fresh on their own or added to salads, desserts, or smoothies, strawberries are a nutritious option that's perfect for satisfying your sweet tooth.",
62,Sweet Potato,20,4,6,1,2,70,dinner,veg,http://drive.google.com/uc?export=view&id=1HFaXYz2W_99vYRy3IFEY3lnQ5yRgDJki,"Nutty and sweet, sweet potatoes are a nutritious root vegetable that's packed with vitamins, minerals, and antioxidants. Whether baked, mashed, or roasted, sweet potatoes are a delicious and versatile ingredient that can be enjoyed in a variety of dishes.",
63,Tofu Stir-Fry,25,6,5,5,15,50,lunch,veg,http://drive.google.com/uc?export=view&id=1zKK6bfHak30lOcv2nTeDAYO-37Tc5slR,"Flavorful and satisfying, tofu stir-fry is made with marinated tofu, crisp vegetables, and savory sauce. Packed with protein, fiber, and essential nutrients, it's a healthy and delicious option that's perfect for lunch or dinner.",
64,Tuna Salad,10,2,1,5,20,50,lunch,non-veg,http://drive.google.com/uc?export=view&id=1ajCePo2mMHgSnaykRNu6C1Az28KT9C-H,"Creamy and flavorful, tuna salad is made with flaked tuna, crisp vegetables, and tangy dressing. Packed with protein, omega-3 fatty acids, and essential nutrients, it's a healthy and satisfying option that's perfect for lunch or dinner.",
65,Turkey and Veggie Lettuce Wraps,10,3,2,3,15,30,lunch,non-veg,http://drive.google.com/uc?export=view&id=1zio5KEDFAYfbZPApOqJv1EtfkFqV5NXW,"Fresh and flavorful, turkey and veggie lettuce wraps are made with lean ground turkey, crisp vegetables, and savory sauce. Packed with protein, fiber, and essential nutrients, they're a healthy and satisfying option that's perfect for lunch or dinner.",
66,Veggie and Tofu Stir-Fry,20,6,4,6,15,45,lunch,veg,http://drive.google.com/uc?export=view&id=1TzcyUDPY8IxkX0a_yzhrIDZtcHbhepWf,"Colorful and flavorful, veggie and tofu stir-fry is made with marinated tofu, crisp vegetables, and savory sauce. Packed with protein, fiber, and essential nutrients, it's a healthy and delicious option that's perfect for lunch or dinner.",
67,Whole Grain Bread with Peanut Butter,25,5,7,8,10,30,breakfast,veg,http://drive.google.com/uc?export=view&id=1qqUSehPT5v0M7ZZWE9lWJWLZQky77LAr,"Nutty and satisfying, whole grain bread is topped with creamy peanut butter for a delicious and nutritious breakfast or snack. Packed with protein, fiber, and healthy fats, it's a healthy option that's perfect for fueling your day.",
68,Whole Wheat Pasta with Tomato Sauce,40,5,5,5,10,45,dinner,non-veg,http://drive.google.com/uc?export=view&id=1uoHycUuOKCaK7jfkXfCZMVGqEH275G18,"Hearty and flavorful, whole wheat pasta is tossed with tangy tomato sauce for a delicious and nutritious meal. Packed with fiber, vitamins, and minerals, it's a healthy option that's perfect for lunch or dinner.",
69,Whole Wheat Toast with Avocado,20,5,2,5,4,45,breakfast,veg,http://drive.google.com/uc?export=view&id=11Af4ydh-AnOeelo5bDjcpHr6QtO6Mj3J,"Creamy avocado is spread onto whole wheat toast for a delicious and nutritious breakfast or snack. Packed with fiber, healthy fats, and essential nutrients, it's a healthy option that's perfect for fueling your day.",
70,Yogurt Parfait with Granola,35,6,20,5,10,60,breakfast,veg,http://drive.google.com/uc?export=view&id=1xwgHCnBDEPRjpkDlR9ZcMcr2vumak2Hj,"Creamy yogurt is layered with crunchy granola and sweet berries for a delicious and nutritious breakfast or snack. Packed with protein, fiber, and essential nutrients, it's a healthy option that's perfect for fueling your day.",
71,Yogurt Smoothie with Spinach,25,4,15,3,8,45,snack,veg, http://drive.google.com/uc?export=view&id=1wr0AaVylEGD_f9nvTdOFEPBsVSQvMeQL,"Creamy yogurt is blended with fresh spinach and sweet fruit for a delicious and nutritious smoothie. Packed with protein, fiber, and essential nutrients, it's a healthy option that's perfect for breakfast or a midday snack.",
