id,meal_type,preference_type,meals_name,cal,carb,proteins,fat,recipe,glycemic_index,diabetics_level,image_link
1,Breakfast,veg,Greek Yogurt Parfait,313,25,27,13,"1 cup 2% plain Greek yogurt,1/2-ounce chopped almonds,1/4-cup unsweetened whole-grain cereal,1/2 cup blueberries",45,low,https://foolproofliving.com/wp-content/uploads/2017/12/Greek-Yogurt-Parfait-Recipe.jpg
2,Snack,veg,Almonds and Apple,153,17,8,7,"15 almonds,1 large peach",50,low,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQrybrY1v9I2mDTBhm3j15cypM42yR17UlG1Q&s
3,Lunch,non-veg,Salmon Caesar Salad Pita,521,40,27,29,"One 6-inch whole wheat pita bread,2 cups romaine lettuce,3 ounces grilled salmon,2 tablespoons Caesar dressing",15,low,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSdlgBfWooIocoi1rpA_KnFdL7p07vw5tTVLQ&s
4,Snack,veg,Almonds and Apple,210,29,5,10,"15 almonds,1 apple",45,low,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQrybrY1v9I2mDTBhm3j15cypM42yR17UlG1Q&s
5,Dinner,non-veg,Chicken StirFry,567,44,28,32,"4 ounces chicken breast,1/2 cup broccoli,1 red bell pepper,1 tablespoon olive oil,2 tablespoons peanut sauce,1/2 cup cooked brown rice",0,high,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR6ba4QHI6UpD9qchErdmWBlV3h_rpq-y1d_Q&s
6,Snack,veg,Banana and Almond Butter,302,33,8,18,"1 banana,2 tablespoons almond butter",40,low,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRigBTTWVNV4j1FFnWONK_li8NT7TyaH8PReQ&s
7,Breakfast,veg,Avocado Toast with Poached Egg,335,27,13,21,"One slice 100% whole wheat bread,One poached egg,1/2 medium avocado,One tomato,sliced",0,high,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRE-ldtWvyynZbtq5W_CiYi96QxLJ61WyP8gQ&s
8,Snack,veg,Greek Yogurt with Berries,180,20,10,5,"1 cup 2% Greek yogurt,Mixed berries",55,low,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRQEkOj1slb1K0xhbaJrzVJxk8psK_mNGMJJA&s
9,Lunch,non-veg,Greek Salad with Grilled Shrimp,415,39,22,21,"2 cups romaine lettuce,1/2 cup chopped tomato,1/2 cup chopped cucumber,1/4 cup black olives,1/4 cup feta cheese,1/2 cup chickpeas,5 large grilled shrimp,2 tablespoons balsamic vinaigrette",45,low,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRGcwjbmBA8VHcLWCKEMHS3_8GGeM5EPTvLTQ&s
10,Snack,veg,Apple and Peanut Butter,266,28,8,16,"1 small apple,2 tablespoons peanut butter",0,high,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRoA6v-ViLQLyHWE1QGjxRct1Wp2UrmyVde1A&s
11,Dinner,non-veg,Grilled Salmon with Sweet Potato and Asparagus,489,29,31,28,"4 ounces grilled salmon,1 medium baked sweet potato,10 asparagus spears,1 tablespoon olive oil",15,moderate,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS5kiCqlmq3H4ryI3UyCjhA9Lhlk7XSuTc0Ew&s
12,Breakfast,veg,Oatmeal with Peanut Butter and Strawberries,300,29,11,18,"1/2 cup oatmeal,2 tablespoons peanut butter,5 large strawberries",10,moderate,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQFDYvXwyipUb5JShS6HTztFxskCfkNpgM-OQ&s
13,Snack,veg,Greek Yogurt with Cherries and Walnuts,277,23,23,12,"1 cup 2% Greek yogurt,10 cherries,6 walnut halves",36,moderate,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSlbFBlTFWjlwklP1iLG8tGHtbfK9jK5wsnNA&s
14,Lunch,non-veg,Turkey Wrap,342,33,21,15,"One 8-inch whole wheat wrap,4 ounces sliced turkey,1/4 avocado,2 slices tomato",22,moderate,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT8sIP1TZm84fgDq6p2wKeQsUTW2cSbEXUXcg&s
15,Snack,veg,Cucumber with Tzatziki and Pita Chips,236,30,7,10,"1 cup cucumber slices,1/4 cup tzatziki dip,1/4 cup black olives,1 ounce pita chips",5,high,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTyw1cvCNF_r-uwlkxo_Vxdcig5OfsBcRmJpA&s
16,Dinner,veg,Tofu Teriyaki with Brown Rice and Broccoli,491,58,20,21,"4 ounces tofu,1 cup brown rice,1/2 cup broccoli,1 tablespoon olive oil,2 tablespoons teriyaki sauce",46,low,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS0ZmyEj7back813tFveIZE56AXnfBL9dYqOw&s
17,Snack,veg,Whole Milk Ice Cream,273,5,31,15,"1 cup regular whole milk ice cream",44,low,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSILm8rcrZqkNcDtHGNQiDwRYWxYYOEzhfA1g&s
18,Lunch,veg,Mango Curry,200,30,2,8,"mangoes cooked in a mildly spicy curry sauce with turmeric, fenugreek, mustard seeds, and coconut milk.",45,low,
19,Dinner,non-veg,Spicy Grilled Chicken,350,5,40,20,"Chicken marinated in Sri Lankan spices including cumin, coriander, and paprika, grilled until crisp.",20,low,
20,Breakfast,veg,Kiri Bath with Lunu Miris,300,40,6,10,"Rice cooked in coconut milk until creamy, traditionally served during special occasions, recommended with a spicy side such as lunu miris.",55,moderate,
21,Lunch,veg,Kos Ata Mallum,100,15,3,4,"Finely chopped tender jackfruit leaves mixed with grated coconut, green chilies, and seasoned with lemon juice.",30,moderate,
22,lunch,veg,Vegetable Biriyani,350,55,8,10,"Basmati rice cooked with carrots, beans, peas, and bell peppers, flavored with biryani masala and saffron.",55,low,
23,Dinner,non-veg,Grilled Tandoori Fish,300,5,40,15,"Fish marinated in a blend of yogurt, tandoori masala, garlic, and ginger, grilled to perfection.",20,high,
24,Dinner,veg,Butter Pneer,300,20,20,15,"Paneer and peas cooked in a lightly spiced tomato-based sauce with cumin and fenugreek leaves. Serve hot with whole wheat chapatis or a small serving of basmati rice.",40,low,
25,Dinner,non-veg,Chicken Biriyani,500,60,30,20,"Basmati rice cooked with chicken, saffron, and spices, using reduced oil and salt.",60,low,
26,Lunch,veg,Gotukola Sambola,100,5,2,7,"Finely chopped gotukola leaves mixed with grated coconut, lime juice, and chili flakes.",20,moderate,
27,Lunch,non-veg,Fish Ambul Thiyal,300,5,25,20,"Sour fish curry made with goraka paste, turmeric, and pepper, simmered until dry. Accompany with a side of steamed vegetables or a small portion of brown rice.",30,moderate,
28,Breakfast,veg,Pol Rotti,250,30,5,10,"Flatbread made with coconut, flour, and water, lightly griddled and served with onion sambol.",55,low,
29,Lunch,veg,Jackfruit Curry,300,40,5,15,"Young green jackfruit cooked in a spicy curry base with coconut milk and a variety of spices Accompany with a small portion of brown rice or cauliflower rice for a low-carb option.",50,low,
30,Lunch,non-veg,Chicken Tikka Salad,350,10,40,20,"Grilled chicken tikka served over a salad of greens, cucumber, and tomatoes, dressed with a yogurt-based dressing.",15,high,
31,Breakfast,veg,Vegetable Upma (Swmolina),350,50,10,10,"Roasted semolina cooked with mixed vegetables (carrots, peas, beans), mustard seeds, and curry leaves.",50,low,
32,Dinner,non-veg,Baked Fish & Chips,350,40,25,10,"Oven-baked white fish fillets coated with a light breadcrumb and herb mixture, served with oven-roasted sweet potato wedges.",50,moderate,
33,Dinner,veg,Vegetable Lancashire Hotpot,300,35,8,15,"A variety of root vegetables slow-cooked with lentils, topped with sliced potatoes, and baked until golden.",40,moderate,
34,Lunch,non-veg,Lamprais,400,45,25,20,"Rice cooked with a special curry mixture, wrapped in a banana leaf with sides like eggplant pickle, fried boiled egg, and shrimp paste.",55,low,
35,Breakfast,veg,Seeni Sambol with Pita,250,40,5,10,"Caramelized onion relish made with tamarind, sugar substitute, and spices, served with whole wheat pita.",55,low,
36,Breakfast,non-veg,Smoked Salmon and Cream Cheese Bagel,300,40,20,10,"Whole grain bagel lightly toasted, topped with cream cheese and smoked salmon, garnished with capers and red onion slices.",50,low,
37,Lunch,veg,Roasted Vegetable Salad,200,25,5,10,"A mix of roasted vegetables such as bell peppers, zucchini, and cherry tomatoes, served with a balsamic vinegar and olive oil dressing.",35,moderate,
38,Lunch,veg,Green Bean Mallum,100,10,3,5,"Finely chopped green beans mixed with grated coconut, turmeric, and chili, quickly stir-fried.  Serve with a portion of cauliflower rice or a whole grain like quinoa for a complete meal.",30,moderate,
39,Snack,non-veg,Fish Patties,250,20,15,15,"Minced fish mixed with potatoes, onions, and spices, encased in a whole wheat pastry and baked.",45,high,
40,Lunch,veg,Curried Eggplant,200,15,20,15,"Eggplant cooked in a spicy curry sauce with coconut milk, curry leaves, and mustard seeds.  Serve with a portion of brown rice or whole grain roti to add fiber.",40,low,
41,Lunch,veg,Stir-Fried Tofu with Broccoli,250,15,20,15,"Firm tofu stir-fried with broccoli, bell peppers, and a sauce made from low-sodium soy sauce, ginger, garlic, and sesame oil.",35,moderate
42,Dinner,non-veg,Shrimp with Garlic Sauce,300,15,25,15,"Shrimp sautéed with garlic, green onions, and bell peppers in a light sauce made with reduced-sodium soy sauce, vinegar, and a hint of sugar substitute.",30,moderate,
43,Dinner,veg,Whole Wheat Pasta Primavera,300,40,10,1,"Whole wheat pasta tossed with a variety of lightly sautéed spring vegetables (zucchini, bell peppers, cherry tomatoes) and a splash of olive oil and garlic.",50,low,
44,Dinner,veg,Lassangna,300,20,20,15,"Layers of thinly sliced zucchini replacing traditional pasta, filled with ricotta cheese, spinach, and a homemade tomato sauce, topped with a sprinkle of mozzarella cheese.",35,moderate,
45,Breakfast,non-veg,Chicken and Wild Rice Soup,250,30,20,7,"A comforting soup made with wild rice, chunks of lean chicken breast, celery, onions, and low-fat cream or milk substitute to reduce calories.",35,moderate,
46,Breakfast,veg,Gotukola Kanda,100,15,5,3,"A healthy porridge made from rice, gotukola leaves (Centella Asiatica), and green gram, subtly flavored with salt and pepper. This traditional porridge is known for its medicinal properties and is highly nutritious.",25,high,
47,Dinner,veg,Pol Sambol with Roast Paan,250,40,6,10,"Freshly grated coconut mixed with red onions, chili powder, lime juice, and Maldive fish. Served with wholemeal roast paan (a type of Sri Lankan bread), offering a fulfilling and spicy snack.",50,low,
48,Lunch,veg,Cashew Curry,300,15,8,25,"Roasted cashews simmered in a rich and creamy sauce made with coconut milk, curry leaves, and a touch of cinnamon.",40,low,
49,Dinner,veg,Chana Masala,240,35,0,7,"Chickpeas cooked in a tangy tomato-based sauce with onions, garlic, ginger, and traditional spices like garam masala and cumin. Serve with whole wheat roti or brown rice.",30,moderate,
50,Dinner,non-veg,Baked Salmon with Steamed Vegetables,300,10,25,20,"Salmon fillet seasoned with herbs and lemon, baked, and served with a side of steamed broccoli and carrots. This meal is high in omega-3 fatty acids, which are beneficial for heart health.",15,high,
51,Dinner,veg,Pumpkin and Coconut Milk Stew,200,20,3,12,"Cubed pumpkin stewed with rich coconut milk and seasoned with curry leaves and mustard seeds. This stew is comforting and provides a good amount of fiber.",35,moderate,
52,Lunch,non-veg,Sri Lankan Chicken Curry with Murunga (Drumstick) Leaves,300,10,25,18,"Tender pieces of chicken cooked with drumstick leaves, known for their health benefits, in a curry made with onions, tomatoes, garlic, and traditional Sri Lankan spices.",20,high,
53,Breakfast,veg,Vegetable Stir Fry,180,20,6,10,"A mix of vegetables such as bell peppers, snow peas, carrots, and mushrooms stir-fried in a minimal amount of oil with garlic and a dash of low-sodium soy sauce. This dish is high in fiber and vitamins.",35,moderate,
54,Breakfast,veg,Baked Sweet Potato with Grilled Vegetables,250,45,5,5,"A baked sweet potato served with a mix of grilled vegetables such as zucchini, bell peppers, and onions, drizzled with olive oil and herbs.",55,low,
55,Dinner,veg,Grilled Tandoori Paneer,250,15,18,15,"Paneer marinated in a blend of yogurt, tandoori masala, garlic, and ginger, then grilled. Served with a side of mint yogurt sauce.",30,moderate,
56,Dinner,veg,Hoppers,150,20,3,5,"Replace some of the rice flour with whole grain flours like buckwheat or whole wheat to increase the fiber content. Use a minimal amount of sugar for fermentation or substitute it with a suitable sugar alternative.  Serve with a side of diabetic-friendly sambol or curry, such as tomato onion sambol or a light dhal curry, to add flavor without excessive carbohydrates.",50,low,
57,Breakfast,veg,string hoppers,200,40,6,1,"Opt for a mix of rice flour and fiber-rich flours like oat or barley flour to improve the nutritional profile. Ensure the dough consistency remains suitable for pressing through the string hopper maker. Pair with high-protein and low-fat curries such as chicken or vegetable curry made with lots of vegetables and lean meats. Incorporate plenty of spices to enhance flavor without adding calories.",55,low,
58,Dinner,non-veg,Low-Carb Spaghetti Carbonara,250,10,20,15,"Use shirataki noodles or spaghetti squash instead of traditional pasta to drastically reduce the carb content. Prepare the sauce with egg, Parmesan cheese, and turkey bacon to keep it lower in fat. Garnish with parsley and more grated Parmesan. Serve with a side of steamed or roasted vegetables for added nutrients.",20,high,
59,Lunch,non-veg,Sri Lankan Prawn curry,240,8,20,15,"Prawns, turmeric, chili powder, fenugreek seeds, green chilies, and thin coconut milk. Accompany with a small serving of brown rice or cauliflower rice for a lower carb option.",25,high,
60,Lunch,veg,Sri Lankan Red Lentil Curry (Dhal Curry),180,25,10,5,"Red lentils, onions, green chilies, curry leaves, turmeric, and unsweetened coconut milk.  Ideal with a piece of whole grain roti or a side of mixed vegetables.",30,moderate,
61,Breakfast,non-veg,Masala Omelette,250,10,18,15,"2 eggs, chopped onions, tomatoes, green chilies (optional), coriander, turmeric powder, and a pinch of salt. Serve hot with a slice of whole-grain bread or a side of mixed greens.",20,high,
62,Breakfast,veg,Steel-Cut Oats with Cinnamon and Apple,300,45,10,10,"Steel-cut oats, chopped apple, cinnamon, a small amount of walnuts, and milk or water for cooking. Sprinkle with walnuts before serving for added texture and healthy fats.",40,low,
63,Breakfast,veg,Avocado Toast with Poached Egg,350,30,15,20,"Whole-grain bread, ripe avocado, 1 egg, lime juice, and fresh herbs like parsley or cilantro. Garnish with fresh herbs and a sprinkle of black pepper.",30,moderate,
64,Breakfast,veg,Milk Rice with Lunu Miris,300,45,6,10," Kiribath made with brown rice instead of white rice, coconut milk, and salt. Lunu Miris is a spicy condiment made from onions, chili flakes, Maldive fish, lime juice, and salt. Serve a small portion of Kiribath with a side of Lunu Miris.",50,low,
65,Lunch,veg,Jackfruit Seed Curry,200,20,7,10,"Boiled jackfruit seeds, turmeric, homemade curry powder, a bit of tamarind paste, and light coconut milk. Accompany with a small portion of brown rice or cauliflower rice for a low-carb option.",35,moderate,
66,Lunch,veg,EggPlant Moju,130,10,2,10,"Eggplant, onions, green chilies, mustard seeds, turmeric, vinegar, and a sugar substitute if desired. Excellent as a side dish with grilled fish or as part of a mixed rice plate.",35,moderate,
67,Dinner,non-veg,Greek Salad with Grilled Chicken,300,15,30,15,"Romaine lettuce, cherry tomatoes, cucumbers, red onions, feta cheese, olives, grilled chicken breast, olive oil, and lemon juice. Perfect as a light yet satisfying meal.",30,moderate,
68,Dinner,veg,Sri Lankan vegetable Roti,250,35,6,10," Whole wheat flour for the roti dough, mixed vegetables (carrots, cabbage, green beans), onions, turmeric, curry powder, and a small amount of coconut oil for cooking. Serve hot with a side of cucumber raita.",10,high,
69,Lunch,veg,Pumpkin Kalu Pol Curry,180,20,3,10,"Cubed pumpkin, roasted coconut paste, turmeric, fenugreek, mustard seeds, curry leaves, and a small amount of coconut oil. Accompany with a small serving of brown rice or millet for added fiber.",15,high,
